id,key,value,type
19780591,source,PGS,regular
19780598,source,PGS,regular
19780599,source,PGS,regular
19780600,source,PGS,regular
19780601,source,PGS,regular
19780602,source,PGS,regular
19780603,source,PGS,regular
19780604,source,PGS,regular
19780605,source,PGS,regular
19780606,source,PGS,regular
19780607,source,PGS,regular
19780608,source,PGS,regular
19780609,source,PGS,regular
19780610,source,PGS,regular
19780621,source,PGS,regular
19780622,source,PGS,regular
19780623,source,PGS,regular
19780624,source,PGS,regular
19780625,source,PGS,regular
19780626,source,PGS,regular
19780627,source,PGS,regular
19780628,source,PGS,regular
19780629,source,PGS,regular
19780630,source,PGS,regular
19780631,source,PGS,regular
19780632,source,PGS,regular
19780633,source,PGS,regular
19780634,source,PGS,regular
19780635,source,PGS,regular
19780636,source,PGS,regular
19780637,source,PGS,regular
19780638,source,PGS,regular
19780647,source,PGS,regular
19780647,created_by,r_coastlines,regular
19780648,source,PGS,regular
19780648,created_by,r_coastlines,regular
19780649,source,PGS,regular
19780649,created_by,r_coastlines,regular
19780650,source,PGS,regular
19780650,created_by,r_coastlines,regular
19780651,source,PGS,regular
19780651,created_by,r_coastlines,regular
19780652,source,PGS,regular
19780652,created_by,r_coastlines,regular
19780656,source,PGS,regular
19780656,created_by,r_coastlines,regular
19780657,source,PGS,regular
19780657,created_by,r_coastlines,regular
19780658,source,PGS,regular
19780658,created_by,r_coastlines,regular
19780659,source,PGS,regular
19780659,created_by,r_coastlines,regular
19780660,source,PGS,regular
19780660,created_by,r_coastlines,regular
19780661,source,PGS,regular
19780661,created_by,r_coastlines,regular
19780662,source,PGS,regular
19780662,created_by,r_coastlines,regular
19780663,source,PGS,regular
19780663,created_by,r_coastlines,regular
19780664,source,PGS,regular
19780664,created_by,r_coastlines,regular
19780665,source,PGS,regular
19780665,created_by,r_coastlines,regular
19780666,source,PGS,regular
19780666,created_by,r_coastlines,regular
19780669,source,PGS,regular
19780669,created_by,r_coastlines,regular
19780670,source,PGS,regular
19780670,created_by,r_coastlines,regular
19780671,source,PGS,regular
19780671,created_by,r_coastlines,regular
19780672,source,PGS,regular
19780672,created_by,r_coastlines,regular
19780673,source,PGS,regular
19780673,created_by,r_coastlines,regular
19780674,source,PGS,regular
19780674,created_by,r_coastlines,regular
19780675,source,PGS,regular
19780675,created_by,r_coastlines,regular
19780676,source,PGS,regular
19780676,created_by,r_coastlines,regular
19780677,source,PGS,regular
19780677,created_by,r_coastlines,regular
19780678,source,PGS,regular
19780678,created_by,r_coastlines,regular
19780680,source,PGS,regular
19780680,created_by,r_coastlines,regular
19780681,source,PGS,regular
19780681,created_by,r_coastlines,regular
19780682,source,PGS,regular
19780682,created_by,r_coastlines,regular
19780683,source,PGS,regular
19780683,created_by,r_coastlines,regular
19780684,source,PGS,regular
19780684,created_by,r_coastlines,regular
19780685,source,PGS,regular
19780685,created_by,r_coastlines,regular
19780686,source,PGS,regular
19780686,created_by,r_coastlines,regular
19780687,source,PGS,regular
19780687,created_by,r_coastlines,regular
19780688,source,PGS,regular
19780688,created_by,r_coastlines,regular
19780689,source,PGS,regular
19780689,created_by,r_coastlines,regular
19780690,source,PGS,regular
19780690,created_by,r_coastlines,regular
19780691,source,PGS,regular
19780691,created_by,r_coastlines,regular
19780692,source,PGS,regular
19780692,created_by,r_coastlines,regular
19780693,source,PGS,regular
19780693,created_by,r_coastlines,regular
19780694,source,PGS,regular
19780694,created_by,r_coastlines,regular
19780695,source,PGS,regular
19780695,created_by,r_coastlines,regular
19780696,source,PGS,regular
19780696,created_by,r_coastlines,regular
19780697,source,PGS,regular
19780697,created_by,r_coastlines,regular
19780698,source,PGS,regular
19780698,created_by,r_coastlines,regular
19780699,source,PGS,regular
19780699,created_by,r_coastlines,regular
19780700,source,PGS,regular
19780700,created_by,r_coastlines,regular
19780701,source,PGS,regular
19780701,created_by,r_coastlines,regular
19780702,source,PGS,regular
19780702,created_by,r_coastlines,regular
19780703,source,PGS,regular
19780703,created_by,r_coastlines,regular
19780722,source,PGS,regular
19780722,created_by,r_coastlines,regular
19780723,source,PGS,regular
19780723,created_by,r_coastlines,regular
19780724,source,PGS,regular
19780724,created_by,r_coastlines,regular
19780725,source,PGS,regular
19780725,created_by,r_coastlines,regular
19780726,source,PGS,regular
19780726,created_by,r_coastlines,regular
19780727,source,PGS,regular
19780727,created_by,r_coastlines,regular
19780728,source,PGS,regular
19780728,created_by,r_coastlines,regular
19780729,source,PGS,regular
19780729,created_by,r_coastlines,regular
19780730,source,PGS,regular
19780730,created_by,r_coastlines,regular
19780731,source,PGS,regular
19780731,created_by,r_coastlines,regular
19780732,source,PGS,regular
19780732,created_by,r_coastlines,regular
19780733,source,PGS,regular
19780733,created_by,r_coastlines,regular
19780744,source,PGS,regular
19780744,created_by,r_coastlines,regular
19780745,source,PGS,regular
19780745,created_by,r_coastlines,regular
19780746,source,PGS,regular
19780746,created_by,r_coastlines,regular
19780747,source,PGS,regular
19780747,created_by,r_coastlines,regular
19780748,source,PGS,regular
19780748,created_by,r_coastlines,regular
19780749,source,PGS,regular
19780749,created_by,r_coastlines,regular
19780750,source,PGS,regular
19780750,created_by,r_coastlines,regular
19780751,source,PGS,regular
19780751,created_by,r_coastlines,regular
19780752,source,PGS,regular
19780752,created_by,r_coastlines,regular
19780753,source,PGS,regular
19780753,created_by,r_coastlines,regular
19780754,source,PGS,regular
19780754,created_by,r_coastlines,regular
19780755,source,PGS,regular
19780755,created_by,r_coastlines,regular
19780756,source,PGS,regular
19780756,created_by,r_coastlines,regular
19780757,source,PGS,regular
19780757,created_by,r_coastlines,regular
19780758,source,PGS,regular
19780758,created_by,r_coastlines,regular
