,year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,lat,long,is_hub
73766,2007,9,AA,American Airlines,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",463.0,94.0,34.33,8.04,20.33,0.0,31.29,6.0,2.0,5357.0,1676.0,450.0,714.0,0.0,2517.0,33.43416667,-112.0080556,1
73768,2007,9,AA,American Airlines,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",543.0,110.0,38.3,1.71,35.83,0.0,34.17,6.0,1.0,7092.0,2403.0,121.0,1536.0,0.0,3032.0,35.87763889,-78.78747222,1
73782,2007,9,AA,American Airlines,STL,"St. Louis, MO: Lambert-St. Louis International",1590.0,232.0,61.8,12.04,66.0,1.0,91.16,27.0,1.0,14186.0,4203.0,762.0,2810.0,131.0,6280.0,38.74768694,-90.35998972,1
73803,2007,9,AS,Alaska Airlines,ANC,"Anchorage, AK: Ted Stevens Anchorage International",1367.0,437.0,100.24,1.13,173.89,9.02,152.71,23.0,4.0,21020.0,4919.0,101.0,5468.0,304.0,10228.0,61.17432028,-149.9961856,1
73820,2007,9,AS,Alaska Airlines,LAX,"Los Angeles, CA: Los Angeles International",616.0,143.0,55.85,0.0,59.54,0.0,27.61,3.0,0.0,5624.0,2786.0,0.0,1502.0,0.0,1336.0,33.94253611,-118.4080744,1
73829,2007,9,AS,Alaska Airlines,PDX,"Portland, OR: Portland International",1033.0,153.0,44.61,0.94,39.93,0.0,67.52,19.0,0.0,8043.0,2777.0,73.0,1130.0,0.0,4063.0,45.58872222,-122.5975,1
73836,2007,9,AS,Alaska Airlines,SEA,"Seattle, WA: Seattle/Tacoma International",4188.0,993.0,239.86,10.25,295.41,2.43,445.05,53.0,8.0,48320.0,14936.0,528.0,9390.0,92.0,23374.0,47.44898194,-122.3093131,1
73848,2007,9,B6,JetBlue Airways,BOS,"Boston, MA: Logan International",1323.0,122.0,23.84,2.79,60.23,0.5,34.64,7.0,1.0,7447.0,1708.0,140.0,3214.0,23.0,2362.0,42.3643475,-71.00517917,1
73857,2007,9,B6,JetBlue Airways,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",784.0,89.0,15.57,0.0,35.72,1.0,36.71,5.0,3.0,4735.0,890.0,0.0,1034.0,19.0,2792.0,26.07258333,-80.15275,1
73862,2007,9,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",4721.0,768.0,79.62,10.26,516.33,0.42,161.36,38.0,6.0,48279.0,7460.0,529.0,29482.0,13.0,10795.0,40.63975111,-73.77892556,1
73967,2007,9,DL,Delta Air Lines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",12567.0,1858.0,413.07,19.77,901.24,1.0,522.92,77.0,29.0,106752.0,33206.0,1524.0,41029.0,64.0,30929.0,33.64044444,-84.42694444,1
73973,2007,9,DL,Delta Air Lines,BOS,"Boston, MA: Logan International",1181.0,231.0,40.7,1.44,140.45,0.0,48.41,14.0,1.0,9125.0,1895.0,95.0,4378.0,0.0,2757.0,42.3643475,-71.00517917,1
73982,2007,9,DL,Delta Air Lines,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",1619.0,183.0,45.06,2.69,71.75,0.0,63.51,9.0,1.0,7984.0,3210.0,218.0,1859.0,0.0,2697.0,39.04614278,-84.6621725,1
73987,2007,9,DL,Delta Air Lines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",331.0,61.0,19.38,2.77,30.2,0.0,8.64,1.0,2.0,3008.0,1164.0,233.0,1166.0,0.0,445.0,32.89595056,-97.0372,1
73988,2007,9,DL,Delta Air Lines,DTW,"Detroit, MI: Detroit Metro Wayne County",166.0,25.0,11.76,0.94,3.55,0.0,8.75,3.0,0.0,1348.0,558.0,83.0,153.0,0.0,554.0,42.21205889,-83.34883583,1
74005,2007,9,DL,Delta Air Lines,JFK,"New York, NY: John F. Kennedy International",1320.0,432.0,55.49,2.92,304.26,0.0,69.33,8.0,5.0,16453.0,2523.0,173.0,10426.0,0.0,3331.0,40.63975111,-73.77892556,1
74007,2007,9,DL,Delta Air Lines,LAX,"Los Angeles, CA: Los Angeles International",1200.0,312.0,68.98,2.92,185.8,0.0,54.3,7.0,0.0,12218.0,3104.0,198.0,5663.0,0.0,3253.0,33.94253611,-118.4080744,1
74009,2007,9,DL,Delta Air Lines,LGA,"New York, NY: LaGuardia",1661.0,306.0,44.69,3.06,208.88,0.0,49.37,45.0,2.0,11590.0,2138.0,222.0,6904.0,0.0,2326.0,40.77724306,-73.87260917,1
74013,2007,9,DL,Delta Air Lines,MEM,"Memphis, TN: Memphis International",106.0,9.0,4.0,0.6,3.56,0.0,0.84,1.0,1.0,978.0,589.0,69.0,226.0,0.0,94.0,35.04241667,-89.97666667,1
74018,2007,9,DL,Delta Air Lines,MSP,"Minneapolis, MN: Minneapolis-St Paul International",112.0,35.0,5.72,0.2,22.75,0.0,6.33,0.0,0.0,1453.0,320.0,14.0,841.0,0.0,278.0,44.88054694,-93.2169225,1
74024,2007,9,DL,Delta Air Lines,ORD,"Chicago, IL: Chicago O'Hare International",308.0,48.0,10.03,0.74,25.47,0.0,11.76,1.0,0.0,2646.0,587.0,32.0,1088.0,0.0,939.0,41.979595,-87.90446417,1
74027,2007,9,DL,Delta Air Lines,PDX,"Portland, OR: Portland International",296.0,55.0,12.52,1.67,28.38,1.0,11.43,0.0,0.0,2166.0,723.0,32.0,875.0,59.0,477.0,45.58872222,-122.5975,1
74043,2007,9,DL,Delta Air Lines,SEA,"Seattle, WA: Seattle/Tacoma International",545.0,164.0,31.83,3.24,110.61,0.0,18.31,0.0,0.0,5751.0,1478.0,155.0,3343.0,0.0,775.0,47.44898194,-122.3093131,1
74047,2007,9,DL,Delta Air Lines,SLC,"Salt Lake City, UT: Salt Lake City International",2616.0,397.0,100.01,5.51,179.53,1.0,110.95,14.0,3.0,17947.0,6258.0,227.0,5750.0,26.0,5686.0,40.78838778,-111.9777731,1
74206,2007,9,F9,Frontier Airlines,DEN,"Denver, CO: Denver International",3917.0,362.0,73.26,7.13,162.69,1.39,117.52,5.0,0.0,15062.0,5010.0,403.0,4813.0,155.0,4681.0,39.85840806,-104.6670019,1
74217,2007,9,F9,Frontier Airlines,MCI,"Kansas City, MO: Kansas City International",173.0,18.0,7.85,0.24,7.84,0.0,2.07,0.0,0.0,605.0,300.0,8.0,239.0,0.0,58.0,39.29760528,-94.71390556,1
74221,2007,9,F9,Frontier Airlines,MKE,"Milwaukee, WI: General Mitchell International",86.0,10.0,6.17,0.0,2.94,0.0,0.89,0.0,0.0,332.0,238.0,0.0,69.0,0.0,25.0,42.94722222,-87.89658333,1
74295,2007,9,HA,Hawaiian Airlines,HNL,"Honolulu, HI: Honolulu International",2081.0,126.0,64.59,0.0,12.66,2.0,46.75,9.0,0.0,7936.0,5636.0,0.0,330.0,48.0,1922.0,21.31869111,-157.9224072,1
74301,2007,9,HA,Hawaiian Airlines,OGG,"Kahului, HI: Kahului Airport",775.0,33.0,19.09,0.0,0.22,0.0,13.7,8.0,0.0,1042.0,644.0,0.0,5.0,0.0,393.0,20.89864972,-156.4304578,1
74429,2007,9,NW,Northwest Airlines,ANC,"Anchorage, AK: Ted Stevens Anchorage International",75.0,40.0,9.77,0.0,25.12,0.0,5.11,0.0,0.0,1548.0,423.0,0.0,863.0,0.0,262.0,61.17432028,-149.9961856,1
74454,2007,9,NW,Northwest Airlines,DTW,"Detroit, MI: Detroit Metro Wayne County",6902.0,958.0,238.13,29.7,418.28,1.6,270.3,18.0,7.0,49834.0,20244.0,2223.0,12864.0,86.0,14417.0,42.21205889,-83.34883583,1
74485,2007,9,NW,Northwest Airlines,MEM,"Memphis, TN: Memphis International",2501.0,367.0,113.3,1.56,172.86,0.89,78.39,22.0,9.0,23942.0,11374.0,86.0,7283.0,17.0,5182.0,35.04241667,-89.97666667,1
74492,2007,9,NW,Northwest Airlines,MSP,"Minneapolis, MN: Minneapolis-St Paul International",7136.0,1577.0,241.86,169.59,855.97,1.53,308.05,17.0,47.0,96345.0,26482.0,11062.0,39381.0,31.0,19389.0,44.88054694,-93.2169225,1
74557,2007,9,OH,Comair,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",5333.0,633.0,265.99,152.67,187.46,1.0,25.89,43.0,2.0,31237.0,15318.0,8917.0,5297.0,88.0,1617.0,39.04614278,-84.6621725,1
74868,2007,9,US,US Airways,CLT,"Charlotte, NC: Charlotte Douglas International",6007.0,913.0,244.95,14.14,421.85,3.83,228.23,39.0,1.0,35805.0,11229.0,853.0,12147.0,135.0,11441.0,35.21401111,-80.94312583,1
74870,2007,9,US,US Airways,DCA,"Washington, DC: Ronald Reagan Washington National",2020.0,285.0,61.43,5.82,141.72,1.63,74.4,25.0,1.0,11614.0,2990.0,296.0,4717.0,25.0,3586.0,38.85208333,-77.03772222,1
74888,2007,9,US,US Airways,LAX,"Los Angeles, CA: Los Angeles International",754.0,115.0,45.28,0.0,42.66,2.07,24.99,5.0,0.0,5004.0,1836.0,0.0,1452.0,74.0,1642.0,33.94253611,-118.4080744,1
74908,2007,9,US,US Airways,PHL,"Philadelphia, PA: Philadelphia International",3472.0,784.0,170.37,15.73,417.18,3.67,177.04,33.0,9.0,37559.0,8752.0,1340.0,16878.0,121.0,10468.0,39.87195278,-75.24114083,1
74909,2007,9,US,US Airways,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5521.0,857.0,265.6,6.33,309.48,3.02,272.57,70.0,0.0,38075.0,14597.0,333.0,8504.0,93.0,14548.0,33.43416667,-112.0080556,1
74943,2007,9,WN,Southwest Airlines,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5143.0,585.0,120.03,12.64,104.51,2.22,345.61,22.0,5.0,23607.0,5010.0,796.0,3398.0,101.0,14302.0,39.17540167,-76.66819833,1
74948,2007,9,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",1223.0,173.0,48.69,2.34,28.32,0.06,93.58,1.0,1.0,6758.0,2032.0,104.0,901.0,2.0,3719.0,39.85840806,-104.6670019,1
74961,2007,9,WN,Southwest Airlines,LAX,"Los Angeles, CA: Los Angeles International",3418.0,454.0,107.06,2.58,127.3,2.3,214.77,51.0,1.0,16259.0,3906.0,55.0,3532.0,60.0,8706.0,33.94253611,-118.4080744,1
74966,2007,9,WN,Southwest Airlines,MCO,"Orlando, FL: Orlando International",3384.0,323.0,82.22,4.03,74.74,0.0,162.01,30.0,6.0,13265.0,3527.0,122.0,2329.0,0.0,7287.0,28.42888889,-81.31602778,1
74967,2007,9,WN,Southwest Airlines,MDW,"Chicago, IL: Chicago Midway International",6490.0,725.0,137.48,23.94,185.04,4.18,374.37,38.0,12.0,32010.0,5398.0,1451.0,6667.0,107.0,18387.0,41.7859825,-87.75242444,1
74978,2007,9,WN,Southwest Airlines,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5880.0,750.0,158.75,6.14,134.92,4.79,445.41,53.0,6.0,28108.0,6373.0,180.0,3852.0,489.0,17214.0,33.43416667,-112.0080556,1
74984,2007,9,WN,Southwest Airlines,SAN,"San Diego, CA: San Diego International",3021.0,373.0,103.19,7.11,57.72,1.88,203.1,32.0,4.0,14545.0,3602.0,435.0,1893.0,48.0,8567.0,32.73355611,-117.1896567,1
75354,2007,10,AA,American Airlines,BNA,"Nashville, TN: Nashville International",457.0,110.0,30.96,3.97,28.04,0.0,47.03,2.0,0.0,5974.0,1281.0,257.0,920.0,0.0,3516.0,36.12447667,-86.67818222,1
75358,2007,10,AA,American Airlines,CLT,"Charlotte, NC: Charlotte Douglas International",151.0,34.0,10.98,1.3,11.99,0.0,9.73,1.0,0.0,1925.0,687.0,196.0,337.0,0.0,705.0,35.21401111,-80.94312583,1
75362,2007,10,AA,American Airlines,DCA,"Washington, DC: Ronald Reagan Washington National",898.0,232.0,68.93,5.52,89.69,0.0,67.85,4.0,0.0,11102.0,3111.0,439.0,3312.0,0.0,4240.0,38.85208333,-77.03772222,1
75364,2007,10,AA,American Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",14047.0,2369.0,469.78,123.33,893.33,2.4,880.16,122.0,38.0,137980.0,34118.0,10336.0,33713.0,79.0,59734.0,32.89595056,-97.0372,1
75379,2007,10,AA,American Airlines,JFK,"New York, NY: John F. Kennedy International",1050.0,384.0,84.24,5.08,214.63,0.94,79.11,7.0,7.0,22201.0,6887.0,187.0,9911.0,16.0,5200.0,40.63975111,-73.77892556,1
75382,2007,10,AA,American Airlines,LAX,"Los Angeles, CA: Los Angeles International",2600.0,671.0,200.61,14.99,253.06,2.32,200.02,29.0,3.0,38718.0,14174.0,1008.0,9036.0,65.0,14435.0,33.94253611,-118.4080744,1
75389,2007,10,AA,American Airlines,MIA,"Miami, FL: Miami International",3338.0,857.0,243.34,17.7,357.59,1.48,236.89,28.0,9.0,45281.0,16163.0,1310.0,12614.0,37.0,15157.0,25.79325,-80.29055556,1
75397,2007,10,AA,American Airlines,ORD,"Chicago, IL: Chicago O'Hare International",6339.0,1618.0,214.33,27.14,867.12,2.28,507.14,86.0,7.0,94145.0,13375.0,1788.0,44677.0,58.0,34247.0,41.979595,-87.90446417,1
75401,2007,10,AA,American Airlines,PHL,"Philadelphia, PA: Philadelphia International",546.0,174.0,37.14,8.53,88.82,0.11,39.41,7.0,4.0,11004.0,1940.0,670.0,5726.0,2.0,2666.0,39.87195278,-75.24114083,1
75402,2007,10,AA,American Airlines,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",488.0,125.0,52.09,8.73,28.33,0.0,35.86,3.0,2.0,6119.0,2253.0,517.0,884.0,0.0,2465.0,33.43416667,-112.0080556,1
75404,2007,10,AA,American Airlines,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",567.0,120.0,40.35,3.96,35.36,0.0,40.34,4.0,0.0,5807.0,1898.0,302.0,1131.0,0.0,2476.0,35.87763889,-78.78747222,1
75418,2007,10,AA,American Airlines,STL,"St. Louis, MO: Lambert-St. Louis International",1656.0,272.0,63.55,7.4,86.75,0.0,114.29,22.0,2.0,14377.0,3491.0,583.0,3194.0,0.0,7109.0,38.74768694,-90.35998972,1
75438,2007,10,AS,Alaska Airlines,ANC,"Anchorage, AK: Ted Stevens Anchorage International",1252.0,308.0,81.38,7.56,92.73,3.21,123.12,36.0,1.0,14640.0,4795.0,527.0,2674.0,70.0,6574.0,61.17432028,-149.9961856,1
75455,2007,10,AS,Alaska Airlines,LAX,"Los Angeles, CA: Los Angeles International",608.0,166.0,47.62,4.8,83.33,0.28,29.98,11.0,0.0,6851.0,2330.0,399.0,2127.0,11.0,1984.0,33.94253611,-118.4080744,1
75465,2007,10,AS,Alaska Airlines,PDX,"Portland, OR: Portland International",1051.0,254.0,55.7,0.4,92.31,0.1,105.5,10.0,0.0,12304.0,3198.0,14.0,2717.0,6.0,6369.0,45.58872222,-122.5975,1
75472,2007,10,AS,Alaska Airlines,SEA,"Seattle, WA: Seattle/Tacoma International",4178.0,1285.0,222.42,6.18,560.07,3.32,493.02,79.0,23.0,62263.0,14961.0,367.0,17597.0,122.0,29216.0,47.44898194,-122.3093131,1
75483,2007,10,B6,JetBlue Airways,BOS,"Boston, MA: Logan International",1407.0,243.0,23.18,1.65,128.93,0.06,89.19,4.0,1.0,15902.0,1737.0,131.0,8117.0,2.0,5915.0,42.3643475,-71.00517917,1
75492,2007,10,B6,JetBlue Airways,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",812.0,176.0,21.74,0.0,84.15,1.62,68.49,2.0,4.0,12082.0,1781.0,0.0,4194.0,73.0,6034.0,26.07258333,-80.15275,1
75497,2007,10,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",4776.0,1146.0,98.89,20.51,702.03,5.84,318.73,54.0,17.0,89514.0,9567.0,3072.0,52348.0,146.0,24381.0,40.63975111,-73.77892556,1
75602,2007,10,DL,Delta Air Lines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",13702.0,2756.0,418.36,25.2,1574.18,0.0,738.25,88.0,15.0,125837.0,32192.0,1958.0,55061.0,0.0,36626.0,33.64044444,-84.42694444,1
75608,2007,10,DL,Delta Air Lines,BOS,"Boston, MA: Logan International",1247.0,245.0,46.07,2.23,137.97,0.0,58.73,19.0,1.0,10181.0,2009.0,186.0,4831.0,0.0,3155.0,42.3643475,-71.00517917,1
75617,2007,10,DL,Delta Air Lines,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",1685.0,193.0,40.39,0.03,101.84,0.0,50.74,10.0,1.0,7726.0,2488.0,2.0,2790.0,0.0,2446.0,39.04614278,-84.6621725,1
75622,2007,10,DL,Delta Air Lines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",379.0,57.0,21.03,0.14,13.33,0.0,22.5,1.0,1.0,2356.0,949.0,9.0,572.0,0.0,826.0,32.89595056,-97.0372,1
75623,2007,10,DL,Delta Air Lines,DTW,"Detroit, MI: Detroit Metro Wayne County",206.0,20.0,8.65,0.0,5.98,0.0,5.37,9.0,0.0,803.0,366.0,0.0,198.0,0.0,239.0,42.21205889,-83.34883583,1
75640,2007,10,DL,Delta Air Lines,JFK,"New York, NY: John F. Kennedy International",1356.0,355.0,60.6,1.54,229.82,0.0,63.04,11.0,14.0,17207.0,3371.0,154.0,9872.0,0.0,3810.0,40.63975111,-73.77892556,1
75642,2007,10,DL,Delta Air Lines,LAX,"Los Angeles, CA: Los Angeles International",1246.0,192.0,55.82,3.22,89.12,0.23,43.6,9.0,0.0,10127.0,3038.0,254.0,3368.0,36.0,3431.0,33.94253611,-118.4080744,1
75644,2007,10,DL,Delta Air Lines,LGA,"New York, NY: LaGuardia",1777.0,416.0,54.11,2.53,303.91,0.0,55.45,81.0,11.0,19033.0,2718.0,189.0,13435.0,0.0,2691.0,40.77724306,-73.87260917,1
75648,2007,10,DL,Delta Air Lines,MEM,"Memphis, TN: Memphis International",116.0,21.0,4.49,0.0,9.14,0.0,7.37,1.0,0.0,790.0,177.0,0.0,267.0,0.0,346.0,35.04241667,-89.97666667,1
75653,2007,10,DL,Delta Air Lines,MSP,"Minneapolis, MN: Minneapolis-St Paul International",192.0,58.0,9.63,0.26,39.7,0.0,8.42,2.0,0.0,2981.0,619.0,10.0,1889.0,0.0,463.0,44.88054694,-93.2169225,1
75659,2007,10,DL,Delta Air Lines,ORD,"Chicago, IL: Chicago O'Hare International",324.0,56.0,22.55,0.0,20.48,0.0,12.97,4.0,0.0,2668.0,1117.0,0.0,876.0,0.0,675.0,41.979595,-87.90446417,1
75662,2007,10,DL,Delta Air Lines,PDX,"Portland, OR: Portland International",247.0,48.0,12.11,0.0,27.43,0.0,8.46,1.0,0.0,2506.0,620.0,0.0,1256.0,0.0,630.0,45.58872222,-122.5975,1
75677,2007,10,DL,Delta Air Lines,SEA,"Seattle, WA: Seattle/Tacoma International",449.0,110.0,26.83,0.0,66.12,0.0,17.05,0.0,2.0,4740.0,1181.0,0.0,2686.0,0.0,873.0,47.44898194,-122.3093131,1
75681,2007,10,DL,Delta Air Lines,SLC,"Salt Lake City, UT: Salt Lake City International",2555.0,289.0,76.3,4.76,112.11,0.0,95.83,20.0,0.0,14675.0,5699.0,342.0,3587.0,0.0,5047.0,40.78838778,-111.9777731,1
75833,2007,10,F9,Frontier Airlines,DEN,"Denver, CO: Denver International",4077.0,545.0,75.47,2.75,275.3,0.0,191.48,3.0,0.0,20529.0,3997.0,231.0,8539.0,0.0,7762.0,39.85840806,-104.6670019,1
75844,2007,10,F9,Frontier Airlines,MCI,"Kansas City, MO: Kansas City International",180.0,26.0,7.04,1.0,14.69,0.0,3.28,0.0,0.0,650.0,156.0,40.0,375.0,0.0,79.0,39.29760528,-94.71390556,1
75848,2007,10,F9,Frontier Airlines,MKE,"Milwaukee, WI: General Mitchell International",89.0,11.0,3.95,0.0,4.52,0.0,2.53,0.0,0.0,282.0,113.0,0.0,102.0,0.0,67.0,42.94722222,-87.89658333,1
75923,2007,10,HA,Hawaiian Airlines,HNL,"Honolulu, HI: Honolulu International",2137.0,85.0,60.4,1.27,0.64,3.89,18.81,6.0,0.0,7077.0,6309.0,39.0,25.0,108.0,596.0,21.31869111,-157.9224072,1
75929,2007,10,HA,Hawaiian Airlines,OGG,"Kahului, HI: Kahului Airport",793.0,35.0,29.13,0.0,0.03,0.0,5.84,2.0,0.0,1862.0,1619.0,0.0,1.0,0.0,242.0,20.89864972,-156.4304578,1
76053,2007,10,NW,Northwest Airlines,ANC,"Anchorage, AK: Ted Stevens Anchorage International",62.0,34.0,15.56,0.0,14.78,0.0,3.66,0.0,0.0,1309.0,795.0,0.0,406.0,0.0,108.0,61.17432028,-149.9961856,1
76078,2007,10,NW,Northwest Airlines,DTW,"Detroit, MI: Detroit Metro Wayne County",7203.0,1258.0,273.76,9.07,571.01,3.4,400.76,45.0,2.0,66156.0,28415.0,775.0,16632.0,87.0,20247.0,42.21205889,-83.34883583,1
76106,2007,10,NW,Northwest Airlines,MEM,"Memphis, TN: Memphis International",2613.0,514.0,106.96,4.24,302.25,0.41,100.13,10.0,2.0,23638.0,9581.0,367.0,8769.0,7.0,4914.0,35.04241667,-89.97666667,1
76112,2007,10,NW,Northwest Airlines,MSP,"Minneapolis, MN: Minneapolis-St Paul International",7343.0,1705.0,265.9,108.47,933.63,4.86,392.14,46.0,12.0,88500.0,24731.0,6020.0,36627.0,134.0,20988.0,44.88054694,-93.2169225,1
76178,2007,10,OH,Comair,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",5626.0,857.0,338.43,213.01,281.47,1.0,23.08,49.0,4.0,40907.0,18598.0,12005.0,8518.0,201.0,1585.0,39.04614278,-84.6621725,1
76485,2007,10,US,US Airways,CLT,"Charlotte, NC: Charlotte Douglas International",6468.0,1259.0,287.98,9.34,607.38,2.69,351.62,38.0,6.0,53031.0,15994.0,654.0,18231.0,67.0,18085.0,35.21401111,-80.94312583,1
76487,2007,10,US,US Airways,DCA,"Washington, DC: Ronald Reagan Washington National",2157.0,325.0,52.19,3.33,141.93,0.49,127.06,37.0,2.0,14149.0,2047.0,263.0,5025.0,11.0,6803.0,38.85208333,-77.03772222,1
76506,2007,10,US,US Airways,LAX,"Los Angeles, CA: Los Angeles International",773.0,185.0,65.78,0.0,63.97,0.38,54.87,4.0,1.0,8229.0,2860.0,0.0,2497.0,16.0,2856.0,33.94253611,-118.4080744,1
76526,2007,10,US,US Airways,PHL,"Philadelphia, PA: Philadelphia International",3617.0,1119.0,180.66,8.07,678.53,2.47,249.27,36.0,10.0,63034.0,9947.0,569.0,35975.0,71.0,16472.0,39.87195278,-75.24114083,1
76527,2007,10,US,US Airways,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5834.0,1033.0,301.64,6.65,400.74,4.0,319.97,44.0,4.0,45853.0,17836.0,765.0,11419.0,127.0,15706.0,33.43416667,-112.0080556,1
76561,2007,10,WN,Southwest Airlines,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5228.0,779.0,125.2,16.27,176.62,3.82,457.09,12.0,1.0,34216.0,5313.0,980.0,6470.0,102.0,21351.0,39.17540167,-76.66819833,1
76566,2007,10,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",1266.0,155.0,45.67,2.68,22.6,0.88,83.17,1.0,1.0,6004.0,1806.0,73.0,646.0,26.0,3453.0,39.85840806,-104.6670019,1
76579,2007,10,WN,Southwest Airlines,LAX,"Los Angeles, CA: Los Angeles International",3419.0,568.0,132.0,0.92,129.49,6.97,298.62,48.0,1.0,20227.0,4664.0,34.0,3505.0,351.0,11673.0,33.94253611,-118.4080744,1
76584,2007,10,WN,Southwest Airlines,MCO,"Orlando, FL: Orlando International",3524.0,522.0,90.72,4.23,134.1,1.5,291.46,8.0,2.0,22305.0,3808.0,112.0,4051.0,35.0,14299.0,28.42888889,-81.31602778,1
76585,2007,10,WN,Southwest Airlines,MDW,"Chicago, IL: Chicago Midway International",6811.0,1013.0,172.84,28.07,244.93,4.86,562.3,25.0,20.0,46597.0,7232.0,3351.0,8959.0,218.0,26837.0,41.7859825,-87.75242444,1
76596,2007,10,WN,Southwest Airlines,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",6081.0,885.0,185.89,6.39,131.52,3.69,557.51,47.0,0.0,33165.0,6928.0,264.0,3588.0,157.0,22228.0,33.43416667,-112.0080556,1
76602,2007,10,WN,Southwest Airlines,SAN,"San Diego, CA: San Diego International",3144.0,582.0,111.26,4.5,112.43,4.23,349.58,36.0,4.0,21372.0,3777.0,194.0,3416.0,162.0,13823.0,32.73355611,-117.1896567,1
76971,2007,11,AA,American Airlines,BNA,"Nashville, TN: Nashville International",436.0,107.0,28.63,2.34,27.78,0.0,48.26,1.0,3.0,6057.0,1843.0,177.0,918.0,0.0,3119.0,36.12447667,-86.67818222,1
76975,2007,11,AA,American Airlines,CLT,"Charlotte, NC: Charlotte Douglas International",143.0,22.0,7.8,0.37,6.58,0.0,7.25,0.0,0.0,1076.0,396.0,24.0,289.0,0.0,367.0,35.21401111,-80.94312583,1
76979,2007,11,AA,American Airlines,DCA,"Washington, DC: Ronald Reagan Washington National",854.0,204.0,64.08,3.94,55.83,0.0,80.16,6.0,2.0,8781.0,2778.0,160.0,1971.0,0.0,3872.0,38.85208333,-77.03772222,1
76981,2007,11,AA,American Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",13424.0,2419.0,472.05,114.88,863.98,2.68,965.42,131.0,8.0,116126.0,28516.0,6515.0,28623.0,72.0,52400.0,32.89595056,-97.0372,1
76996,2007,11,AA,American Airlines,JFK,"New York, NY: John F. Kennedy International",1033.0,377.0,91.66,1.41,203.95,0.0,79.98,6.0,5.0,18447.0,6489.0,39.0,7107.0,0.0,4812.0,40.63975111,-73.77892556,1
76999,2007,11,AA,American Airlines,LAX,"Los Angeles, CA: Los Angeles International",2495.0,753.0,180.92,12.83,363.83,0.74,194.69,26.0,0.0,38445.0,12552.0,607.0,12352.0,34.0,12900.0,33.94253611,-118.4080744,1
77006,2007,11,AA,American Airlines,MIA,"Miami, FL: Miami International",3231.0,762.0,241.33,12.74,241.79,2.09,264.06,15.0,1.0,39591.0,14537.0,991.0,7374.0,61.0,16628.0,25.79325,-80.29055556,1
77014,2007,11,AA,American Airlines,ORD,"Chicago, IL: Chicago O'Hare International",6038.0,1552.0,223.23,7.7,864.42,0.0,456.65,100.0,6.0,87876.0,13495.0,431.0,45362.0,0.0,28588.0,41.979595,-87.90446417,1
77018,2007,11,AA,American Airlines,PHL,"Philadelphia, PA: Philadelphia International",518.0,169.0,47.3,0.37,74.16,0.0,47.18,8.0,0.0,10295.0,2561.0,41.0,4162.0,0.0,3531.0,39.87195278,-75.24114083,1
77019,2007,11,AA,American Airlines,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",466.0,132.0,55.68,3.86,34.17,0.0,38.3,1.0,0.0,6967.0,3239.0,191.0,1173.0,0.0,2364.0,33.43416667,-112.0080556,1
77021,2007,11,AA,American Airlines,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",541.0,107.0,34.73,3.15,29.61,0.0,39.5,2.0,0.0,5151.0,1749.0,139.0,1045.0,0.0,2218.0,35.87763889,-78.78747222,1
77035,2007,11,AA,American Airlines,STL,"St. Louis, MO: Lambert-St. Louis International",1573.0,270.0,87.28,2.75,65.44,0.0,114.53,31.0,1.0,12701.0,4243.0,185.0,1973.0,0.0,6300.0,38.74768694,-90.35998972,1
