,year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,lat,long,is_hub
370,2003,6,DL,Delta Air Lines,LGA,"New York, NY: LaGuardia",1937.0,255.0,47.85,4.23,162.52,2.0,38.41,23.0,3.0,12171.0,2782.0,186.0,7003.0,154.0,2046.0,40.77724306,-73.87260917,1
375,2003,6,DL,Delta Air Lines,MEM,"Memphis, TN: Memphis International",232.0,36.0,9.06,0.0,22.11,0.0,4.83,1.0,0.0,1304.0,349.0,0.0,760.0,0.0,195.0,35.04241667,-89.97666667,1
382,2003,6,DL,Delta Air Lines,MSP,"Minneapolis, MN: Minneapolis-St Paul International",317.0,73.0,22.23,0.0,40.33,0.0,10.44,0.0,0.0,2261.0,809.0,0.0,986.0,0.0,466.0,44.88054694,-93.2169225,1
389,2003,6,DL,Delta Air Lines,ORD,"Chicago, IL: Chicago O'Hare International",490.0,133.0,30.82,1.32,81.14,0.0,19.72,5.0,1.0,5995.0,1281.0,46.0,3628.0,0.0,1040.0,41.979595,-87.90446417,1
392,2003,6,DL,Delta Air Lines,PDX,"Portland, OR: Portland International",360.0,59.0,20.59,0.86,30.17,0.0,7.38,0.0,2.0,2086.0,1138.0,51.0,708.0,0.0,189.0,45.58872222,-122.5975,1
407,2003,6,DL,Delta Air Lines,SEA,"Seattle, WA: Seattle/Tacoma International",480.0,84.0,25.69,3.09,33.96,0.0,21.26,0.0,0.0,3744.0,978.0,164.0,1023.0,0.0,1579.0,47.44898194,-122.3093131,1
411,2003,6,DL,Delta Air Lines,SLC,"Salt Lake City, UT: Salt Lake City International",3466.0,454.0,121.15,7.61,221.91,1.0,102.33,9.0,0.0,16853.0,5384.0,306.0,5686.0,28.0,5449.0,40.78838778,-111.9777731,1
571,2003,6,HP,America West Airlines,CMH,"Columbus, OH: Port Columbus International",120.0,26.0,11.2,0.0,11.06,0.0,3.74,0.0,1.0,1329.0,763.0,0.0,289.0,0.0,277.0,39.99798528,-82.89188278,1
600,2003,6,HP,America West Airlines,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5801.0,663.0,196.94,5.75,335.18,12.97,112.15,14.0,3.0,28951.0,12987.0,479.0,8252.0,395.0,6838.0,33.43416667,-112.0080556,1
712,2003,6,NW,Northwest Airlines,ANC,"Anchorage, AK: Ted Stevens Anchorage International",165.0,28.0,16.05,0.19,10.38,0.0,1.38,0.0,0.0,1117.0,750.0,7.0,279.0,0.0,81.0,61.17432028,-149.9961856,1
737,2003,6,NW,Northwest Airlines,DTW,"Detroit, MI: Detroit Metro Wayne County",9229.0,1005.0,255.2,49.69,432.73,5.26,262.12,112.0,5.0,43716.0,16249.0,2249.0,12175.0,120.0,12923.0,42.21205889,-83.34883583,1
771,2003,6,NW,Northwest Airlines,MEM,"Memphis, TN: Memphis International",2692.0,338.0,102.77,20.55,165.66,3.09,45.93,22.0,1.0,14320.0,6342.0,815.0,4759.0,193.0,2211.0,35.04241667,-89.97666667,1
778,2003,6,NW,Northwest Airlines,MSP,"Minneapolis, MN: Minneapolis-St Paul International",9607.0,1211.0,301.54,85.02,547.12,9.4,267.92,81.0,8.0,59368.0,22001.0,5007.0,16147.0,528.0,15685.0,44.88054694,-93.2169225,1
1139,2003,6,US,US Airways,CLT,"Charlotte, NC: Charlotte Douglas International",6998.0,1220.0,192.72,29.17,584.56,0.0,413.55,59.0,11.0,49547.0,9669.0,2052.0,18174.0,0.0,19652.0,35.21401111,-80.94312583,1
1141,2003,6,US,US Airways,DCA,"Washington, DC: Ronald Reagan Washington National",1911.0,264.0,59.67,13.56,100.22,0.0,90.55,20.0,4.0,11716.0,2356.0,1226.0,3885.0,0.0,4249.0,38.85208333,-77.03772222,1
1154,2003,6,US,US Airways,LAX,"Los Angeles, CA: Los Angeles International",330.0,137.0,41.75,3.43,39.38,0.0,52.44,0.0,0.0,7484.0,1997.0,438.0,1482.0,0.0,3567.0,33.94253611,-118.4080744,1
1168,2003,6,US,US Airways,PHL,"Philadelphia, PA: Philadelphia International",5196.0,1237.0,130.04,24.81,691.04,0.0,391.11,41.0,11.0,55879.0,5768.0,1864.0,27470.0,0.0,20777.0,39.87195278,-75.24114083,1
1169,2003,6,US,US Airways,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",236.0,69.0,17.48,0.65,28.49,0.0,22.39,0.0,0.0,3340.0,862.0,100.0,900.0,0.0,1478.0,33.43416667,-112.0080556,1
1199,2003,6,WN,Southwest Airlines,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",4481.0,481.0,90.02,42.79,81.87,7.8,258.51,3.0,9.0,25404.0,3556.0,4077.0,3856.0,278.0,13637.0,39.17540167,-76.66819833,1
1216,2003,6,WN,Southwest Airlines,LAX,"Los Angeles, CA: Los Angeles International",3252.0,361.0,89.72,4.81,50.88,2.57,213.02,28.0,7.0,14069.0,3644.0,212.0,1352.0,111.0,8750.0,33.94253611,-118.4080744,1
1221,2003,6,WN,Southwest Airlines,MCO,"Orlando, FL: Orlando International",1923.0,275.0,40.42,8.78,87.38,0.7,137.72,3.0,3.0,12057.0,1461.0,702.0,2888.0,15.0,6991.0,28.42888889,-81.31602778,1
1222,2003,6,WN,Southwest Airlines,MDW,"Chicago, IL: Chicago Midway International",3767.0,484.0,82.24,23.31,100.77,6.72,270.95,20.0,5.0,21368.0,3496.0,1401.0,3314.0,149.0,13008.0,41.7859825,-87.75242444,1
1232,2003,6,WN,Southwest Airlines,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5177.0,618.0,131.21,10.54,121.0,2.03,353.22,37.0,5.0,23965.0,5146.0,689.0,3431.0,54.0,14645.0,33.43416667,-112.0080556,1
1236,2003,6,WN,Southwest Airlines,SAN,"San Diego, CA: San Diego International",2307.0,298.0,79.32,1.67,42.13,3.7,171.18,5.0,2.0,10200.0,2945.0,42.0,1068.0,65.0,6080.0,32.73355611,-117.1896567,1
1254,2003,7,AA,American Airlines,BNA,"Nashville, TN: Nashville International",472.0,124.0,37.17,14.98,35.28,0.0,36.57,3.0,0.0,7506.0,1949.0,934.0,2116.0,0.0,2507.0,36.12447667,-86.67818222,1
1259,2003,7,AA,American Airlines,CLT,"Charlotte, NC: Charlotte Douglas International",242.0,53.0,16.53,8.36,17.17,0.0,10.94,4.0,1.0,3007.0,1155.0,394.0,712.0,0.0,746.0,35.21401111,-80.94312583,1
1263,2003,7,AA,American Airlines,DCA,"Washington, DC: Ronald Reagan Washington National",989.0,224.0,72.84,21.31,80.27,0.0,49.58,23.0,1.0,15556.0,4706.0,1567.0,4929.0,0.0,4354.0,38.85208333,-77.03772222,1
1265,2003,7,AA,American Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12861.0,2669.0,596.99,111.45,1268.55,13.57,678.43,69.0,35.0,138361.0,39633.0,7670.0,50075.0,372.0,40611.0,32.89595056,-97.0372,1
1283,2003,7,AA,American Airlines,JFK,"New York, NY: John F. Kennedy International",1233.0,297.0,103.36,15.31,118.02,1.22,59.08,4.0,4.0,18069.0,8328.0,926.0,4398.0,23.0,4394.0,40.63975111,-73.77892556,1
1286,2003,7,AA,American Airlines,LAX,"Los Angeles, CA: Los Angeles International",2587.0,566.0,194.42,43.21,184.59,1.21,142.57,12.0,1.0,33127.0,11623.0,3413.0,7759.0,28.0,10304.0,33.94253611,-118.4080744,1
1296,2003,7,AA,American Airlines,MIA,"Miami, FL: Miami International",3301.0,762.0,196.82,33.24,374.69,3.73,153.52,31.0,10.0,45717.0,15241.0,3009.0,14748.0,121.0,12598.0,25.79325,-80.29055556,1
1304,2003,7,AA,American Airlines,ORD,"Chicago, IL: Chicago O'Hare International",7910.0,2051.0,285.3,49.26,1220.42,4.86,491.16,215.0,40.0,163127.0,25671.0,4908.0,87012.0,113.0,45423.0,41.979595,-87.90446417,1
1308,2003,7,AA,American Airlines,PHL,"Philadelphia, PA: Philadelphia International",785.0,182.0,37.04,15.33,92.61,0.0,37.02,25.0,0.0,12395.0,1707.0,750.0,6584.0,0.0,3354.0,39.87195278,-75.24114083,1
1309,2003,7,AA,American Airlines,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",476.0,85.0,40.16,9.03,13.92,0.0,21.88,2.0,1.0,4516.0,2041.0,419.0,763.0,0.0,1293.0,33.43416667,-112.0080556,1
1313,2003,7,AA,American Airlines,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",542.0,123.0,34.64,17.24,40.09,0.0,31.03,7.0,2.0,7984.0,1617.0,926.0,2688.0,0.0,2753.0,35.87763889,-78.78747222,1
